时间,比赛名称,下注选项,当前价格,池子大小,模拟投入($),预计利润($),链接
2025-12-21, 11:23:15 p.m.,"Rockets vs. Kings","Over",0.96,44862.316638,100,4.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-21, 11:43:21 p.m.,"Rockets vs. Kings","Over",0.97,27028.803015,100,3.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-21, 11:56:30 p.m.,"Rockets vs. Kings","Rockets",0.95,2139950.792132,100,5.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-21, 11:57:09 p.m.,"Rockets vs. Kings","Rockets",0.95,2139950.792132,100,5.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-22, 12:02:14 a.m.,"Rockets vs. Kings","Rockets",0.95,2139950.792132,100,5.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-22, 12:03:07 a.m.,"Rockets vs. Kings","Rockets",0.95,2139950.792132,100,5.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-22, 12:04:00 a.m.,"Rockets vs. Kings","Rockets",0.96,2139950.792132,100,4.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-22, 12:04:45 a.m.,"Rockets vs. Kings","Over",0.98,100928.595437,100,2.00,https://polymarket.com/event/nba-hou-sac-2025-12-21
2025-12-22, 10:51:07 p.m.,"Pistons vs. Trail Blazers","Pistons",0.8,1032456.158592,100,20.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 10:51:18 p.m.,"Magic vs. Warriors","Over",0.59,21804.334707,100,41.00,https://polymarket.com/event/nba-orl-gsw-2025-12-22
2025-12-22, 10:51:20 p.m.,"Pistons vs. Trail Blazers","Pistons",0.65,346435.624204,100,35.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 10:51:34 p.m.,"Magic vs. Warriors","Warriors",0.66,1202633.420648,100,34.00,https://polymarket.com/event/nba-orl-gsw-2025-12-22
2025-12-22, 10:51:57 p.m.,"Thunder vs. Spurs","Thunder",0.69,59360.704335,100,31.00,https://polymarket.com/event/nba-okc-sas-2025-12-23
2025-12-22, 10:52:01 p.m.,"Magic vs. Warriors","Over",0.65,21804.334707,100,35.00,https://polymarket.com/event/nba-orl-gsw-2025-12-22
2025-12-22, 10:52:07 p.m.,"Magic vs. Warriors","Warriors",0.66,1202633.420648,100,34.00,https://polymarket.com/event/nba-orl-gsw-2025-12-22
2025-12-22, 10:52:10 p.m.,"Pistons vs. Trail Blazers","Pistons",0.8,1032456.158592,100,20.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 10:52:14 p.m.,"Thunder vs. Spurs","Thunder",0.7,59360.704335,100,30.00,https://polymarket.com/event/nba-okc-sas-2025-12-23
2025-12-22, 11:08:33 p.m.,"Pistons vs. Trail Blazers","Pistons",0.9,1045440.710296,100,10.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 11:09:07 p.m.,"Pistons vs. Trail Blazers","Pistons",0.9,1045440.710296,100,10.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 11:10:00 p.m.,"Pistons vs. Trail Blazers","Pistons",0.9,1069031.504813,100,10.00,https://polymarket.com/event/nba-det-por-2025-12-22
2025-12-22, 11:16:24 p.m.,"Jazz vs. Nuggets","Over",0.9,43109.744651,100,10.00,https://polymarket.com/event/nba-uta-den-2025-12-22
2025-12-22, 11:24:43 p.m.,"Grizzlies vs. Thunder","Thunder",0.97,2076125.491847,100,3.00,https://polymarket.com/event/nba-mem-okc-2025-12-22
2025-12-22, 11:25:01 p.m.,"Grizzlies vs. Thunder","Thunder",0.97,2076125.491847,100,3.00,https://polymarket.com/event/nba-mem-okc-2025-12-22
2025-12-22, 11:26:11 p.m.,"Grizzlies vs. Thunder","Thunder",0.98,2076125.491847,100,2.00,https://polymarket.com/event/nba-mem-okc-2025-12-22
2025-12-23, 8:28:44 p.m.,"Nets vs. 76ers","76ers",0.6,968726.479862,100,40.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 8:28:48 p.m.,"Bulls vs. Hawks","Hawks",0.83,642912.311642,100,17.00,https://polymarket.com/event/nba-chi-atl-2025-12-23
2025-12-23, 8:28:48 p.m.,"Nuggets vs. Mavericks","Mavericks",0.58,1370908.872628,100,42.00,https://polymarket.com/event/nba-den-dal-2025-12-23
2025-12-23, 8:28:48 p.m.,"Thunder vs. Spurs","Over",0.6,81826.603949,100,40.00,https://polymarket.com/event/nba-okc-sas-2025-12-23
2025-12-23, 8:28:49 p.m.,"Pelicans vs. Cavaliers","Cavaliers",0.53,197722.75262,100,47.00,https://polymarket.com/event/nba-nop-cle-2025-12-23
2025-12-23, 8:53:54 p.m.,"Wizards vs. Hornets","Hornets",0.67,803778.540726,100,33.00,https://polymarket.com/event/nba-was-cha-2025-12-23
2025-12-23, 8:53:57 p.m.,"Nets vs. 76ers","Nets",0.65,987616.295265,100,35.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 8:59:02 p.m.,"Nets vs. 76ers","Nets",0.68,1112964.977395,100,32.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 8:59:02 p.m.,"Pelicans vs. Cavaliers","Cavaliers",0.9,1105933.137659,100,10.00,https://polymarket.com/event/nba-nop-cle-2025-12-23
2025-12-23, 8:59:03 p.m.,"Wizards vs. Hornets","Hornets",0.76,817783.578324,100,24.00,https://polymarket.com/event/nba-was-cha-2025-12-23
2025-12-23, 8:59:07 p.m.,"Nuggets vs. Mavericks","Mavericks",0.56,1506595.315587,100,44.00,https://polymarket.com/event/nba-den-dal-2025-12-23
2025-12-23, 8:59:08 p.m.,"Nets vs. 76ers","Over",0.54,24636.444496,100,46.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
2025-12-23, 9:00:48 p.m.,"Pelicans vs. Cavaliers","Cavaliers",0.9,1105933.137659,100,10.00,https://polymarket.com/event/nba-nop-cle-2025-12-23
2025-12-23, 9:01:05 p.m.,"Pelicans vs. Cavaliers","Cavaliers",0.92,1105933.137659,100,8.00,https://polymarket.com/event/nba-nop-cle-2025-12-23
2025-12-23, 9:28:06 p.m.,"Nets vs. 76ers","Nets",0.91,1249608.450478,100,9.00,https://polymarket.com/event/nba-bkn-phi-2025-12-23
